,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLPClassifier__alpha,param_MLPClassifier__hidden_layer_sizes,param_MLPClassifier__learning_rate,param_MLPClassifier__max_iter,param_MLPClassifier__solver,param_vect__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
22,224.76819262504577,9.609296420409326,19.747179985046387,1.226583152547147,0.001,"(50, 100, 200, 100, 50)",adaptive,300,lbfgs,2000,"{'MLPClassifier__alpha': 0.001, 'MLPClassifier__hidden_layer_sizes': (50, 100, 200, 100, 50), 'MLPClassifier__learning_rate': 'adaptive', 'MLPClassifier__max_iter': 300, 'MLPClassifier__solver': 'lbfgs', 'vect__max_features': 2000}",0.872375,0.876875,0.871,0.870375,0.86825,0.8717750000000001,0.00287597809449237,1
23,112.42907614707947,6.792577754216647,19.991431856155394,0.9443744236814341,0.001,"(50, 100, 200, 100, 50)",adaptive,300,adam,2000,"{'MLPClassifier__alpha': 0.001, 'MLPClassifier__hidden_layer_sizes': (50, 100, 200, 100, 50), 'MLPClassifier__learning_rate': 'adaptive', 'MLPClassifier__max_iter': 300, 'MLPClassifier__solver': 'adam', 'vect__max_features': 2000}",0.842625,0.84425,0.850125,0.848375,0.84775,0.8466249999999998,0.0027647332601898763,26
24,100.0580008983612,1.216295867140814,20.0383101940155,0.9477727584250045,0.01,"(50,)",constant,300,lbfgs,2000,"{'MLPClassifier__alpha': 0.01, 'MLPClassifier__hidden_layer_sizes': (50,), 'MLPClassifier__learning_rate': 'constant', 'MLPClassifier__max_iter': 300, 'MLPClassifier__solver': 'lbfgs', 'vect__max_features': 2000}",0.836,0.837,0.841875,0.8275,0.835875,0.83565,0.004629659814716415,35
25,114.83473172187806,4.260278253634749,19.415453910827637,0.8492355289020302,0.01,"(50,)",constant,300,adam,2000,"{'MLPClassifier__alpha': 0.01, 'MLPClassifier__hidden_layer_sizes': (50,), 'MLPClassifier__learning_rate': 'constant', 'MLPClassifier__max_iter': 300, 'MLPClassifier__solver': 'adam', 'vect__max_features': 2000}",0.866125,0.874,0.866125,0.86625,0.867625,0.868025,0.0030407647064513185,4
26,100.75787343978882,0.4146281491655048,19.540176391601562,0.8767796899686783,0.01,"(50,)",adaptive,300,lbfgs,2000,"{'MLPClassifier__alpha': 0.01, 'MLPClassifier__hidden_layer_sizes': (50,), 'MLPClassifier__learning_rate': 'adaptive', 'MLPClassifier__max_iter': 300, 'MLPClassifier__solver': 'lbfgs', 'vect__max_features': 2000}",0.841125,0.841125,0.8365,0.8245,0.832625,0.8351749999999999,0.006213191611402313,36
27,113.17928276062011,2.079000582526173,19.07637310028076,0.4183911222907271,0.01,"(50,)",adaptive,300,adam,2000,"{'MLPClassifier__alpha': 0.01, 'MLPClassifier__hidden_layer_sizes': (50,), 'MLPClassifier__learning_rate': 'adaptive', 'MLPClassifier__max_iter': 300, 'MLPClassifier__solver': 'adam', 'vect__max_features': 2000}",0.868625,0.86925,0.8645,0.86725,0.869125,0.86775,0.0017730623226496975,5
28,135.90869846343995,1.7573313772387635,19.672611570358278,1.3639852275664999,0.01,"(50, 100, 50)",constant,300,lbfgs,2000,"{'MLPClassifier__alpha': 0.01, 'MLPClassifier__hidden_layer_sizes': (50, 100, 50), 'MLPClassifier__learning_rate': 'constant', 'MLPClassifier__max_iter': 300, 'MLPClassifier__solver': 'lbfgs', 'vect__max_features': 2000}",0.874125,0.86925,0.8555,0.871,0.864625,0.8669,0.006475627382732883,7
29,90.55682983398438,2.3853449521976393,18.954062366485594,0.1928042699906232,0.01,"(50, 100, 50)",constant,300,adam,2000,"{'MLPClassifier__alpha': 0.01, 'MLPClassifier__hidden_layer_sizes': (50, 100, 50), 'MLPClassifier__learning_rate': 'constant', 'MLPClassifier__max_iter': 300, 'MLPClassifier__solver': 'adam', 'vect__max_features': 2000}",0.85325,0.857,0.851375,0.846875,0.84875,0.85145,0.003528987106805555,19
30,133.79911918640136,0.9715773671176642,19.21094913482666,0.39999451243788264,0.01,"(50, 100, 50)",adaptive,300,lbfgs,2000,"{'MLPClassifier__alpha': 0.01, 'MLPClassifier__hidden_layer_sizes': (50, 100, 50), 'MLPClassifier__learning_rate': 'adaptive', 'MLPClassifier__max_iter': 300, 'MLPClassifier__solver': 'lbfgs', 'vect__max_features': 2000}",0.861875,0.86375,0.862375,0.85925,0.868625,0.863175,0.0030909141042740175,13
31,471.73547806739805,464.80891682943053,19.644060373306274,0.9304740089412282,0.01,"(50, 100, 50)",adaptive,300,adam,2000,"{'MLPClassifier__alpha': 0.01, 'MLPClassifier__hidden_layer_sizes': (50, 100, 50), 'MLPClassifier__learning_rate': 'adaptive', 'MLPClassifier__max_iter': 300, 'MLPClassifier__solver': 'adam', 'vect__max_features': 2000}",0.852125,0.848625,0.850375,0.848,0.853875,0.8506,0.002180022935659195,20
32,328.14897871017456,54.654265436721666,28.96525959968567,7.515018344767263,0.01,"(50, 100, 200, 100, 50)",constant,300,lbfgs,2000,"{'MLPClassifier__alpha': 0.01, 'MLPClassifier__hidden_layer_sizes': (50, 100, 200, 100, 50), 'MLPClassifier__learning_rate': 'constant', 'MLPClassifier__max_iter': 300, 'MLPClassifier__solver': 'lbfgs', 'vect__max_features': 2000}",0.865875,0.871375,0.843875,0.871625,0.8695,0.86445,0.010490948479522703,9
33,134.67944684028626,21.89614349655758,23.778137588500975,4.979190901287439,0.01,"(50, 100, 200, 100, 50)",constant,300,adam,2000,"{'MLPClassifier__alpha': 0.01, 'MLPClassifier__hidden_layer_sizes': (50, 100, 200, 100, 50), 'MLPClassifier__learning_rate': 'constant', 'MLPClassifier__max_iter': 300, 'MLPClassifier__solver': 'adam', 'vect__max_features': 2000}",0.851125,0.849875,0.84825,0.84375,0.848625,0.848325,0.002500749887533747,23
34,363.3308897972107,27.559246825947564,29.784103870391846,5.6816108489526975,0.01,"(50, 100, 200, 100, 50)",adaptive,300,lbfgs,2000,"{'MLPClassifier__alpha': 0.01, 'MLPClassifier__hidden_layer_sizes': (50, 100, 200, 100, 50), 'MLPClassifier__learning_rate': 'adaptive', 'MLPClassifier__max_iter': 300, 'MLPClassifier__solver': 'lbfgs', 'vect__max_features': 2000}",0.8755,0.874875,0.866375,0.867625,0.854375,0.86775,0.007637080594048994,5
35,155.98197317123413,26.41495001667838,23.9868097782135,3.7683567906458406,0.01,"(50, 100, 200, 100, 50)",adaptive,300,adam,2000,"{'MLPClassifier__alpha': 0.01, 'MLPClassifier__hidden_layer_sizes': (50, 100, 200, 100, 50), 'MLPClassifier__learning_rate': 'adaptive', 'MLPClassifier__max_iter': 300, 'MLPClassifier__solver': 'adam', 'vect__max_features': 2000}",0.846875,0.84275,0.8475,0.846125,0.849625,0.846575,0.0022396986404424972,27
