,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DecisionTreeClassifier__criterion,param_DecisionTreeClassifier__max_depth,param_DecisionTreeClassifier__max_features,param_DecisionTreeClassifier__splitter,param_vect__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
48,79.40378851890564,0.6524637664922286,19.893369340896605,0.3960538454902199,entropy,13,,best,4000,"{'DecisionTreeClassifier__criterion': 'entropy', 'DecisionTreeClassifier__max_depth': 13, 'DecisionTreeClassifier__max_features': None, 'DecisionTreeClassifier__splitter': 'best', 'vect__max_features': 4000}",0.73425,0.725,0.740875,0.7345,0.728375,0.7326,0.0054848655407402575,5
49,76.41114621162414,0.5088370629873487,19.980670070648195,0.42119643206193635,entropy,13,,random,4000,"{'DecisionTreeClassifier__criterion': 'entropy', 'DecisionTreeClassifier__max_depth': 13, 'DecisionTreeClassifier__max_features': None, 'DecisionTreeClassifier__splitter': 'random', 'vect__max_features': 4000}",0.732875,0.708875,0.6995,0.733875,0.716625,0.7183500000000002,0.013416966870347428,16
50,75.54847316741943,0.2947066550986723,20.082273149490355,0.14349835109040027,entropy,13,auto,best,4000,"{'DecisionTreeClassifier__criterion': 'entropy', 'DecisionTreeClassifier__max_depth': 13, 'DecisionTreeClassifier__max_features': 'auto', 'DecisionTreeClassifier__splitter': 'best', 'vect__max_features': 4000}",0.622,0.622125,0.664875,0.61275,0.638625,0.632075,0.018399490482075846,37
51,75.37107219696045,0.7371739393432275,19.989472436904908,0.25583243200977973,entropy,13,auto,random,4000,"{'DecisionTreeClassifier__criterion': 'entropy', 'DecisionTreeClassifier__max_depth': 13, 'DecisionTreeClassifier__max_features': 'auto', 'DecisionTreeClassifier__splitter': 'random', 'vect__max_features': 4000}",0.571125,0.594875,0.5855,0.595125,0.58575,0.586475,0.008746213466409348,47
52,75.49226279258728,0.8524092191471524,20.222961807250975,0.18574694423475513,entropy,13,sqrt,best,4000,"{'DecisionTreeClassifier__criterion': 'entropy', 'DecisionTreeClassifier__max_depth': 13, 'DecisionTreeClassifier__max_features': 'sqrt', 'DecisionTreeClassifier__splitter': 'best', 'vect__max_features': 4000}",0.64275,0.615,0.6355,0.597375,0.622875,0.6227,0.015915519155842835,39
53,74.83048663139343,0.5693869576332179,19.900234603881835,0.11376439128057754,entropy,13,sqrt,random,4000,"{'DecisionTreeClassifier__criterion': 'entropy', 'DecisionTreeClassifier__max_depth': 13, 'DecisionTreeClassifier__max_features': 'sqrt', 'DecisionTreeClassifier__splitter': 'random', 'vect__max_features': 4000}",0.56075,0.5915,0.58075,0.574875,0.608375,0.58325,0.016012299959718476,49
54,81.24031310081482,0.5305672586570395,20.076969194412232,0.4052099594001297,entropy,14,,best,4000,"{'DecisionTreeClassifier__criterion': 'entropy', 'DecisionTreeClassifier__max_depth': 14, 'DecisionTreeClassifier__max_features': None, 'DecisionTreeClassifier__splitter': 'best', 'vect__max_features': 4000}",0.72975,0.73075,0.741,0.736625,0.73175,0.733975,0.004232611487013651,4
55,76.19039549827576,0.5957278499958247,19.77800588607788,0.32822828752302813,entropy,14,,random,4000,"{'DecisionTreeClassifier__criterion': 'entropy', 'DecisionTreeClassifier__max_depth': 14, 'DecisionTreeClassifier__max_features': None, 'DecisionTreeClassifier__splitter': 'random', 'vect__max_features': 4000}",0.72,0.71975,0.732125,0.727625,0.7365,0.7272,0.006607098455449281,12
56,73.37106108665466,0.5885546085254557,20.431886625289916,0.4847457365998196,entropy,14,auto,best,4000,"{'DecisionTreeClassifier__criterion': 'entropy', 'DecisionTreeClassifier__max_depth': 14, 'DecisionTreeClassifier__max_features': 'auto', 'DecisionTreeClassifier__splitter': 'best', 'vect__max_features': 4000}",0.654375,0.682625,0.65825,0.68975,0.636125,0.6642250000000001,0.019557191771826528,21
57,75.60404286384582,1.170176185640785,20.488595294952393,0.4437389303034575,entropy,14,auto,random,4000,"{'DecisionTreeClassifier__criterion': 'entropy', 'DecisionTreeClassifier__max_depth': 14, 'DecisionTreeClassifier__max_features': 'auto', 'DecisionTreeClassifier__splitter': 'random', 'vect__max_features': 4000}",0.56725,0.5785,0.5705,0.576,0.673625,0.593175,0.0404197971296245,42
58,74.10136380195618,1.6990341959362076,20.02096381187439,0.7139485984914549,entropy,14,sqrt,best,4000,"{'DecisionTreeClassifier__criterion': 'entropy', 'DecisionTreeClassifier__max_depth': 14, 'DecisionTreeClassifier__max_features': 'sqrt', 'DecisionTreeClassifier__splitter': 'best', 'vect__max_features': 4000}",0.629125,0.646375,0.663625,0.64925,0.64025,0.645725,0.011303041626040306,29
59,72.36446619033813,0.7972981040429153,19.527680444717408,0.5025442314161637,entropy,14,sqrt,random,4000,"{'DecisionTreeClassifier__criterion': 'entropy', 'DecisionTreeClassifier__max_depth': 14, 'DecisionTreeClassifier__max_features': 'sqrt', 'DecisionTreeClassifier__splitter': 'random', 'vect__max_features': 4000}",0.596625,0.584,0.596125,0.589125,0.584125,0.5900000000000001,0.005526074556138382,45
