,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_RandomForestClassifier__criterion,param_RandomForestClassifier__max_depth,param_RandomForestClassifier__max_features,param_RandomForestClassifier__n_estimators,param_vect__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
19,86.01669716835022,0.5678405641059345,20.84366731643677,0.23848498243621882,gini,13,sqrt,350,32000,"{'RandomForestClassifier__criterion': 'gini', 'RandomForestClassifier__max_depth': 13, 'RandomForestClassifier__max_features': 'sqrt', 'RandomForestClassifier__n_estimators': 350, 'vect__max_features': 32000}",0.84275,0.84875,0.84525,0.836375,0.843875,0.8433999999999999,0.004050771531449291,7
20,76.59641447067261,0.462056314498219,20.816595792770386,0.4961965593989587,gini,13,log2,50,32000,"{'RandomForestClassifier__criterion': 'gini', 'RandomForestClassifier__max_depth': 13, 'RandomForestClassifier__max_features': 'log2', 'RandomForestClassifier__n_estimators': 50, 'vect__max_features': 32000}",0.739125,0.757375,0.75975,0.756375,0.727375,0.748,0.012651086909827166,68
21,76.23620080947876,0.6895104927401923,20.94312653541565,0.2448492274590688,gini,13,log2,150,32000,"{'RandomForestClassifier__criterion': 'gini', 'RandomForestClassifier__max_depth': 13, 'RandomForestClassifier__max_features': 'log2', 'RandomForestClassifier__n_estimators': 150, 'vect__max_features': 32000}",0.79875,0.80325,0.813875,0.800625,0.79525,0.80235,0.006324258849857435,62
22,78.46067261695862,0.3789956958069445,21.206641006469727,0.2237188093811331,gini,13,log2,250,32000,"{'RandomForestClassifier__criterion': 'gini', 'RandomForestClassifier__max_depth': 13, 'RandomForestClassifier__max_features': 'log2', 'RandomForestClassifier__n_estimators': 250, 'vect__max_features': 32000}",0.824125,0.82825,0.814125,0.815125,0.826125,0.82155,0.00581141118834317,51
23,78.91845173835755,0.530740203830142,21.120017719268798,0.17778578258083022,gini,13,log2,350,32000,"{'RandomForestClassifier__criterion': 'gini', 'RandomForestClassifier__max_depth': 13, 'RandomForestClassifier__max_features': 'log2', 'RandomForestClassifier__n_estimators': 350, 'vect__max_features': 32000}",0.83125,0.82875,0.8315,0.821625,0.826875,0.8280000000000001,0.0036133433271694428,38
24,77.24100837707519,0.41482540205813695,20.916963815689087,0.7245279007339995,gini,14,auto,50,32000,"{'RandomForestClassifier__criterion': 'gini', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'auto', 'RandomForestClassifier__n_estimators': 50, 'vect__max_features': 32000}",0.82,0.83375,0.831125,0.820375,0.8285,0.82675,0.0056108154487561086,41
25,80.14264569282531,1.2081539807803883,20.66880087852478,0.3822213150612541,gini,14,auto,150,32000,"{'RandomForestClassifier__criterion': 'gini', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'auto', 'RandomForestClassifier__n_estimators': 150, 'vect__max_features': 32000}",0.835625,0.844875,0.843125,0.8375,0.837,0.8396250000000001,0.003666571968474123,26
26,82.21238989830017,0.7421113396146457,20.871028566360472,0.5249366213630916,gini,14,auto,250,32000,"{'RandomForestClassifier__criterion': 'gini', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'auto', 'RandomForestClassifier__n_estimators': 250, 'vect__max_features': 32000}",0.84525,0.844,0.8445,0.836625,0.845625,0.8432000000000001,0.003335978117434233,9
27,86.28741512298583,0.6849408919157715,20.72843008041382,0.7358797974815349,gini,14,auto,350,32000,"{'RandomForestClassifier__criterion': 'gini', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'auto', 'RandomForestClassifier__n_estimators': 350, 'vect__max_features': 32000}",0.840625,0.84825,0.844125,0.841,0.84475,0.84375,0.0027827594218688754,5
28,76.2941445350647,0.5674361511363584,20.20960063934326,0.20000123958905194,gini,14,sqrt,50,32000,"{'RandomForestClassifier__criterion': 'gini', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'sqrt', 'RandomForestClassifier__n_estimators': 50, 'vect__max_features': 32000}",0.81875,0.827875,0.82675,0.818625,0.829625,0.824325,0.0046934795195036115,45
